Entity,Code,Year,Renewables (% growth)
Africa,,1966,11.537540435791016
Africa,,1967,4.3883562088012695
Africa,,1968,16.970943450927734
Africa,,1969,16.699195861816406
Africa,,1970,25.019527435302734
Africa,,1971,-5.258834362030029
Africa,,1972,13.831806182861328
Africa,,1973,5.763804912567139
Africa,,1974,13.727653503417969
Africa,,1975,5.713653564453125
Africa,,1976,10.801446914672852
Africa,,1977,9.84961986541748
Africa,,1978,0.8330225944519043
Africa,,1979,7.019698619842529
Africa,,1980,-2.5066077709198
Africa,,1981,3.8997650146484375
Africa,,1982,0.062155723571777344
Africa,,1983,-9.843092918395996
Africa,,1984,-1.6561806201934814
Africa,,1985,11.16786003112793
Africa,,1986,4.194974899291992
Africa,,1987,-4.034233093261719
Africa,,1988,9.061741828918457
Africa,,1989,4.931366443634033
Africa,,1990,2.034425735473633
Africa,,1991,5.879044532775879
Africa,,1992,-4.4920148849487305
Africa,,1993,-1.8403589725494385
Africa,,1994,1.4130711555480957
Africa,,1995,4.034185409545898
Africa,,1996,4.585611820220947
Africa,,1997,2.6181817054748535
Africa,,1998,4.795205593109131
Africa,,1999,5.886876583099365
Africa,,2000,7.33717679977417
Africa,,2001,7.621300220489502
Africa,,2002,4.947972297668457
Africa,,2003,-2.3020565509796143
Africa,,2004,6.10886812210083
Africa,,2005,1.8309354782104492
Africa,,2006,4.374253749847412
Africa,,2007,2.788841724395752
Africa,,2008,2.224910259246826
Africa,,2009,3.139066696166992
Africa,,2010,8.734703063964844
Africa,,2011,3.188908100128174
Africa,,2012,1.0032176971435547
Africa,,2013,6.47348165512085
Africa,,2014,7.940149307250977
Africa,,2015,2.377474308013916
Africa,,2016,1.0482072830200195
Africa,,2017,9.19135856628418
Africa,,2018,8.688152313232422
Africa,,2019,7.34560489654541
Africa,,2020,6.611597537994385
Africa,,2021,5.513525009155273
Africa (BP),,1966,11.537551879882812
Africa (BP),,1967,4.3883442878723145
Africa (BP),,1968,16.970956802368164
Africa (BP),,1969,16.699182510375977
Africa (BP),,1970,25.01953887939453
Africa (BP),,1971,-5.258834362030029
Africa (BP),,1972,13.831806182861328
Africa (BP),,1973,5.763804912567139
Africa (BP),,1974,13.727653503417969
Africa (BP),,1975,5.71366548538208
Africa (BP),,1976,10.801434516906738
Africa (BP),,1977,9.84961986541748
Africa (BP),,1978,0.8330225944519043
Africa (BP),,1979,7.019698619842529
Africa (BP),,1980,-2.5066137313842773
Africa (BP),,1981,3.8997650146484375
Africa (BP),,1982,0.062155723571777344
Africa (BP),,1983,-9.843092918395996
Africa (BP),,1984,-1.6561806201934814
Africa (BP),,1985,11.16786003112793
Africa (BP),,1986,4.194986820220947
Africa (BP),,1987,-4.034238815307617
Africa (BP),,1988,9.061741828918457
Africa (BP),,1989,4.931366443634033
Africa (BP),,1990,2.0344138145446777
Africa (BP),,1991,5.879056453704834
Africa (BP),,1992,-4.4920148849487305
Africa (BP),,1993,-1.8403589725494385
Africa (BP),,1994,1.4130830764770508
Africa (BP),,1995,4.034173488616943
Africa (BP),,1996,4.585623741149902
Africa (BP),,1997,2.6181817054748535
Africa (BP),,1998,4.795205593109131
Africa (BP),,1999,5.88686466217041
Africa (BP),,2000,7.337188720703125
Africa (BP),,2001,7.621300220489502
Africa (BP),,2002,5.534923076629639
Africa (BP),,2003,-2.232128381729126
Africa (BP),,2004,6.181132793426514
Africa (BP),,2005,1.3883471488952637
Africa (BP),,2006,4.179215431213379
Africa (BP),,2007,3.529512882232666
Africa (BP),,2008,2.0266175270080566
Africa (BP),,2009,2.8563618659973145
Africa (BP),,2010,8.583354949951172
Africa (BP),,2011,3.440415859222412
Africa (BP),,2012,1.0852932929992676
Africa (BP),,2013,6.4254045486450195
Africa (BP),,2014,7.887530326843262
Africa (BP),,2015,2.4741530418395996
Africa (BP),,2016,0.9890079498291016
Africa (BP),,2017,9.142780303955078
Africa (BP),,2018,8.878707885742188
Africa (BP),,2019,7.223165035247803
Africa (BP),,2020,6.687963008880615
Africa (BP),,2021,5.496001243591309
Algeria,DZA,1966,-11.250000953674316
Algeria,DZA,1967,15.492963790893555
Algeria,DZA,1968,37.31708526611328
Algeria,DZA,1969,-35.87921905517578
Algeria,DZA,1970,60.66481018066406
Algeria,DZA,1971,-43.10344314575195
Algeria,DZA,1972,50
Algeria,DZA,1973,51.919185638427734
Algeria,DZA,1974,-33.90957260131836
Algeria,DZA,1975,-34.00402069091797
Algeria,DZA,1976,18.59755516052246
Algeria,DZA,1977,-30.848329544067383
Algeria,DZA,1978,-7.063192367553711
Algeria,DZA,1979,16.40000343322754
